Trip_ID,Port,Fork_length,Weight
BdV_1,Baie_de_Verde,,
MH_1,Musgrave_Harbour,25.5,165
MH_1,Musgrave_Harbour,25,160
MH_1,Musgrave_Harbour,28,210
MH_1,Musgrave_Harbour,26,170
MH_1,Musgrave_Harbour,28,230
MH_1,Musgrave_Harbour,28.5,220
MH_1,Musgrave_Harbour,28,210
MH_1,Musgrave_Harbour,25,160
MH_1,Musgrave_Harbour,27,190
MH_1,Musgrave_Harbour,26,175
MH_1,Musgrave_Harbour,24.5,150
MH_1,Musgrave_Harbour,25,170
MH_1,Musgrave_Harbour,23,115
MH_1,Musgrave_Harbour,25,150
MH_1,Musgrave_Harbour,26.5,190
MH_1,Musgrave_Harbour,25,165
MH_1,Musgrave_Harbour,27,200
MH_1,Musgrave_Harbour,25.5,170
MH_1,Musgrave_Harbour,25,165
MH_1,Musgrave_Harbour,26.5,175
BdV_2,Baie_de_Verde,33,330
BdV_2,Baie_de_Verde,30,260
BdV_2,Baie_de_Verde,29,220
BdV_2,Baie_de_Verde,33.75,345
BdV_2,Baie_de_Verde,31,305
BdV_2,Baie_de_Verde,31.75,310
BdV_2,Baie_de_Verde,31,370
BdV_2,Baie_de_Verde,27,180
BdV_2,Baie_de_Verde,31,270
BdV_2,Baie_de_Verde,32.5,325
BdV_2,Baie_de_Verde,28,220
BdV_2,Baie_de_Verde,31.5,340
BdV_2,Baie_de_Verde,29,255
BdV_2,Baie_de_Verde,28.5,240
BdV_2,Baie_de_Verde,29,260
BdV_2,Baie_de_Verde,30,245
BdV_2,Baie_de_Verde,28.5,220
BdV_2,Baie_de_Verde,32,300
BdV_2,Baie_de_Verde,26,185
BdV_2,Baie_de_Verde,33.5,320
MH_2,Musgrave_Harbour,26,160
MH_2,Musgrave_Harbour,27.5,165
MH_2,Musgrave_Harbour,26,160
MH_2,Musgrave_Harbour,26,170
MH_2,Musgrave_Harbour,27,190
MH_2,Musgrave_Harbour,26,180
MH_2,Musgrave_Harbour,27,170
MH_2,Musgrave_Harbour,27,200
MH_2,Musgrave_Harbour,29,205
MH_2,Musgrave_Harbour,28,210
MH_2,Musgrave_Harbour,25.5,150
MH_2,Musgrave_Harbour,28,190
MH_2,Musgrave_Harbour,26.5,170
MH_2,Musgrave_Harbour,25,150
MH_2,Musgrave_Harbour,24.5,160
MH_2,Musgrave_Harbour,27,170
MH_2,Musgrave_Harbour,27,160
MH_2,Musgrave_Harbour,27,160
MH_2,Musgrave_Harbour,26,165
MH_2,Musgrave_Harbour,26.5,170
BdV_3,Baie_de_Verde,27,220
BdV_3,Baie_de_Verde,33.25,390
BdV_3,Baie_de_Verde,31,300
BdV_3,Baie_de_Verde,31,295
BdV_3,Baie_de_Verde,32,350
BdV_3,Baie_de_Verde,33.5,390
BdV_3,Baie_de_Verde,29,240
BdV_3,Baie_de_Verde,30,265
BdV_3,Baie_de_Verde,29.5,230
BdV_3,Baie_de_Verde,32.75,355
BdV_3,Baie_de_Verde,30.5,250
BdV_3,Baie_de_Verde,27,190
BdV_3,Baie_de_Verde,31.5,350
BdV_3,Baie_de_Verde,29.5,215
BdV_3,Baie_de_Verde,27.75,240
BdV_3,Baie_de_Verde,31,300
BdV_3,Baie_de_Verde,26.25,185
BdV_3,Baie_de_Verde,31.25,335
BdV_3,Baie_de_Verde,30,250
BdV_3,Baie_de_Verde,31,340
