Trip_ID,Net group,Net treatment,Time Setting,Time Pulling,Soak_duration,Total Catch #,Total catch Weigth [kg],Avg Herring F.L [cm],Avg Herring Weight (g),SH Sculpin,Atlantic Cod,Yellowtail Flounder,HERG,GBBG,LBBG,RBGU,ICGU,BLKI,DCCO,GRCO,NOGA,COMU,RAZO,BLGU,Auk (unidentified),ATPU,Bald Eagle,Merganser,Long-tailed Duck,Common Eider,Common Tern,Common Raven,American Pipit,Comments,
BdV_0,1,40hrs,5/13/2024 6:00 PM,5/15/2024 10:00 AM,40:00:00,300,unknown,unknown,unknown,1,1,,,,,,,,,,,,,,,,,,,,,1,,,
BdV_1,1,24hrs,5/15/2024 10:00 AM,5/16/2024 6:14 AM,20:14:00,0,0,NA,NA,,,,22,3,,2,1,45,,,,,,,2,1,1,,,,,,,"Birds on the water >50m. Slob on net, no catch",Net set very close to shoreline
BdV_2,1,24hrs,5/16/2024 6:21 AM,5/17/2024 7:06 AM,24:45:00,52,unknown,30.3,275,,,,76,1,,,2,6,,,1,,,,,,1,,,50,,,,Eiders were a flyby estimate,"Many gulls (200+) on the jetty at the plant, not counted due to distance and visibility (fog too  thick to see, but there were more BLKI, ICGUs, and 2 LBBGs on the jetty when we were returning to dock)."
BdV_3,1,24hrs,5/17/2024 7:21 AM,5/18/2024 7:02:00,23:41:00,64,unknown,30.2375,284.5,,,,40,3,,,,6,,,1,,,1,,,,,,55,,,,"More than 200m: the jetty gulls, 20+ BLKI, 6+ BLGUs",2 DCCO upon returning to the harbour
BdV_4,1,24hrs,5/18/2024 7:16:00,5/19/2024 6:18:00,23:02:00,207,unknown,30.8125,297.75,,,,53,2,,,2,,,,1,,,1,,,,,,,,1,,"Many gulls (200+) on the jetty at the plant, not counted due to distance",
BdV_5,1,12hrs,5/19/2024 6:18:00,5/19/2024 15:34:00,9:16:00,1,0.22,28,220,,,,27,1,,1,,3,4,,,,,1,,,,,,,,1,,"Many gulls (200+) on the outflow at the plant, not counted due to distance",
BdV_6,1,12hrs,5/19/2024 15:34:00,5/20/2024 7:11:00,15:37:00,91,unknown,29.375,235.75,,1,,20,3,,,1,,,,2,,,,,,,,,,,,1,AMPI flew directly overhead as we were pulling the net,"no gulls on the jetty, most were on the coastline (45HERG, 1GBBG, 1RBGU, 2 ICGU)  or at what looked like a spot of herring spawning activity"
BdV_7,1,12hrs,5/20/2024 7:22:00,5/20/2024 16:13,8:51:00,0,0,NA,NA,,,,5(+19),1,,,,2,,,1,,,7,,,,,,,,1,,,
BdV_8,1,12hrs,5/20/2024 16:18:00,5/21/2024 6:09:00,13:51:00,400,unknown,30.875,285.25,,,,29,2,,,1,10,,,5,13,1,5,,16,,,,11,,,,<200m visibility,2 herring fell from the net into the water and it brought in a bunch of gulls fighting fo r it. about 60
BdV_8,2,12hrs,5/20/2024 16:00:00,5/21/2024 7:08:00,15:08:00,93,unknown,30.65,303.5,,,,27,1,,,,4,,,6,5,,3,,12,,,,,1,,,<200m visibility,
