Trip_ID,Net_group,Net_treatment,Time_setting,Time_pulling,Soak_duration,Total_catch_number,Total_catch_wt_kg,Avg_herring_FK_cm,Avg_herring_wt_g,SH Sculpin,Atlantic Salmon,NOGA,Rock Crab,Rock Cod,Sea Trout,Lumpfish,HEGU,GBBG,RBGU,ICEL Gull,BLKI,CORMO,NOGA,COMU,RAZO,BLGU,ATPU,BALD EAG,Merganser,Long-tailed duck,CAN Goose,ARCTERN,Minke,Comments,
MH_1,1,12_night,5/16/2024 6:00 PM,5/17/2024 6:00:00,12:00:00,209,37,26,177,0,0,0,0,0,0,0,26,4,0,0,0,1,31,0,0,0,0,0,0,0,0,0,,"Most birds flying overhead, no NOGA diving or in the water. ~10 HERG trying to get fish out of net during pulling; 1 successfully",
MH_1,2,12_night,5/16/2024 6:30 PM,5/17/2024 6:30:00,12:00:00,"""","""","""","""",0,0,0,0,0,0,0,34,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,,"Most HERG in the water, no NOGA flying or on water. >10 HERG on top of net trying to get fish out - several successful",
MH_2,1,24hr_day to night,5/17/2024 6:30:00,5/18/2024 6:15:00,23:45:00,24,4.146,26.625,172.75,0,0,0,0,0,0,0,6,1,0,0,0,2,6,0,0,0,1,0,0,0,0,0,,Lots of slob and full kelp stuck in net. No bird trying to get fish out of net but HERG following the boat,"NOGA, ATPU, CORMO flying, Gulls flying + in the water"
MH_2,2,24hr_day to night,5/17/2024 7:00:00,5/18/2024 6:30:00,23:30:00,"""","""","""","""",0,0,0,0,0,0,0,7,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,,Lots of slob and full kelp stuck in net. No bird trying to get fish out of net but HERG following the boat,"NOGA, ATPU, CORMO flying, Gulls flying + in the water"
MH_3,1,12_day,5/18/2024 6:30:00,5/18/2024 18:15:00,11:45:00,0,0,NA,NA,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,,No catch but HERG still flying above net and landing on it. Only kelp in net,"NOGA flying only. About 30 diving 2.5km SW from were nets are set: 49.453371, -53.983744 at the time of pulling"
MH_3,2,12_day,5/18/2024 6:45:00,5/18/2024 18:30:00,11:45:00,"""","""","""","""",0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,No catch but HERG still flying above net and landing on it. Only kelp in net,"NOGA flying only. About 30 diving 2.5km SW from were nets are set: 49.453371, -53.983744 at the time of pulling"
MH_4,1,12_night,5/18/2024 18:30:00,5/19/2024 6:00:00,11:30:00,368,73.5,27.55,193.75,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,"Lots of catch, cloudy skies but not foggy yet no birds around. HERG showed up while we were pulling, stayed on the water throughout pulling but not trying to get fish from net",About 40 NOGA diving 50m from shoreline in front of Bill's house - nowhere near nets
MH_4,2,12_night,5/18/2024 18:45:00,5/19/2024 6:45:00,12:00:00,"""","""","""","""",0,0,0,0,0,0,0,9,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,,"HERG followed us from net 1, GBBG showex up and got fish from net. NOGA flying above only",
MH_5,1,12_day,5/19/2024 6:45:00,5/19/2024 18:15:00,11:30:00,1,0.17,26,170,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,,"Very rough waters, could only check net 1. Some birds flying above, none in the water",
MH_5,2,NA,5/19/2024 7:15:00,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,,"Very rough waters, could not check net 2. Went by, couple of herrings seem to be in the net, some birds flying above, none in the water",
