Trip_ID,Port,Net_treatment,Sample_herring_FK_cm,Sample_herring_wt_g
BdV_01,Baie_de_Verde,24h,NA,NA
MH_01,Musgrave_Harbour,12_night,25.5,165
MH_01,Musgrave_Harbour,12_night,25,160
MH_01,Musgrave_Harbour,12_night,28,210
MH_01,Musgrave_Harbour,12_night,26,170
MH_01,Musgrave_Harbour,12_night,28,230
MH_01,Musgrave_Harbour,12_night,28.5,220
MH_01,Musgrave_Harbour,12_night,28,210
MH_01,Musgrave_Harbour,12_night,25,160
MH_01,Musgrave_Harbour,12_night,27,190
MH_01,Musgrave_Harbour,12_night,26,175
MH_01,Musgrave_Harbour,12_night,24.5,150
MH_01,Musgrave_Harbour,12_night,25,170
MH_01,Musgrave_Harbour,12_night,23,115
MH_01,Musgrave_Harbour,12_night,25,150
MH_01,Musgrave_Harbour,12_night,26.5,190
MH_01,Musgrave_Harbour,12_night,25,165
MH_01,Musgrave_Harbour,12_night,27,200
MH_01,Musgrave_Harbour,12_night,25.5,170
MH_01,Musgrave_Harbour,12_night,25,165
MH_01,Musgrave_Harbour,12_night,26.5,175
BdV_02,Baie_de_Verde,24h,33,330
BdV_02,Baie_de_Verde,24h,30,260
BdV_02,Baie_de_Verde,24h,29,220
BdV_02,Baie_de_Verde,24h,33.75,345
BdV_02,Baie_de_Verde,24h,31,305
BdV_02,Baie_de_Verde,24h,31.75,310
BdV_02,Baie_de_Verde,24h,31,370
BdV_02,Baie_de_Verde,24h,27,180
BdV_02,Baie_de_Verde,24h,31,270
BdV_02,Baie_de_Verde,24h,32.5,325
BdV_02,Baie_de_Verde,24h,28,220
BdV_02,Baie_de_Verde,24h,31.5,340
BdV_02,Baie_de_Verde,24h,29,255
BdV_02,Baie_de_Verde,24h,28.5,240
BdV_02,Baie_de_Verde,24h,29,260
BdV_02,Baie_de_Verde,24h,30,245
BdV_02,Baie_de_Verde,24h,28.5,220
BdV_02,Baie_de_Verde,24h,32,300
BdV_02,Baie_de_Verde,24h,26,185
BdV_02,Baie_de_Verde,24h,33.5,320
MH_02,Musgrave_Harbour,24h,26,160
MH_02,Musgrave_Harbour,24h,27.5,165
MH_02,Musgrave_Harbour,24h,26,160
MH_02,Musgrave_Harbour,24h,26,170
MH_02,Musgrave_Harbour,24h,27,190
MH_02,Musgrave_Harbour,24h,26,180
MH_02,Musgrave_Harbour,24h,27,170
MH_02,Musgrave_Harbour,24h,27,200
MH_02,Musgrave_Harbour,24h,29,205
MH_02,Musgrave_Harbour,24h,28,210
MH_02,Musgrave_Harbour,24h,25.5,150
MH_02,Musgrave_Harbour,24h,28,190
MH_02,Musgrave_Harbour,24h,26.5,170
MH_02,Musgrave_Harbour,24h,25,150
MH_02,Musgrave_Harbour,24h,24.5,160
MH_02,Musgrave_Harbour,24h,27,170
MH_02,Musgrave_Harbour,24h,27,160
MH_02,Musgrave_Harbour,24h,27,160
MH_02,Musgrave_Harbour,24h,26,165
MH_02,Musgrave_Harbour,24h,26.5,170
BdV_03,Baie_de_Verde,24h,27,220
BdV_03,Baie_de_Verde,24h,33.25,390
BdV_03,Baie_de_Verde,24h,31,300
BdV_03,Baie_de_Verde,24h,31,295
BdV_03,Baie_de_Verde,24h,32,350
BdV_03,Baie_de_Verde,24h,33.5,390
BdV_03,Baie_de_Verde,24h,29,240
BdV_03,Baie_de_Verde,24h,30,265
BdV_03,Baie_de_Verde,24h,29.5,230
BdV_03,Baie_de_Verde,24h,32.75,355
BdV_03,Baie_de_Verde,24h,30.5,250
BdV_03,Baie_de_Verde,24h,27,190
BdV_03,Baie_de_Verde,24h,31.5,350
BdV_03,Baie_de_Verde,24h,29.5,215
BdV_03,Baie_de_Verde,24h,27.75,240
BdV_03,Baie_de_Verde,24h,31,300
BdV_03,Baie_de_Verde,24h,26.25,185
BdV_03,Baie_de_Verde,24h,31.25,335
BdV_03,Baie_de_Verde,24h,30,250
BdV_03,Baie_de_Verde,24h,31,340
MH_03,Musgrave_Harbour,12_day,NA,NA
MH_04,Musgrave_Harbour,12_night,28.5,190
MH_04,Musgrave_Harbour,12_night,28,165
MH_04,Musgrave_Harbour,12_night,27,195
MH_04,Musgrave_Harbour,12_night,29.5,240
MH_04,Musgrave_Harbour,12_night,29,200
MH_04,Musgrave_Harbour,12_night,30,260
MH_04,Musgrave_Harbour,12_night,25.5,160
MH_04,Musgrave_Harbour,12_night,28,210
MH_04,Musgrave_Harbour,12_night,27,180
MH_04,Musgrave_Harbour,12_night,26,160
MH_04,Musgrave_Harbour,12_night,27,210
MH_04,Musgrave_Harbour,12_night,28.5,200
MH_04,Musgrave_Harbour,12_night,26,185
MH_04,Musgrave_Harbour,12_night,27,180
MH_04,Musgrave_Harbour,12_night,25.5,160
MH_04,Musgrave_Harbour,12_night,28.5,185
MH_04,Musgrave_Harbour,12_night,26,150
MH_04,Musgrave_Harbour,12_night,27,215
MH_04,Musgrave_Harbour,12_night,27,180
MH_04,Musgrave_Harbour,12_night,30,250
BdV_05,Baie_de_Verde,12_day,28,220
BdV_04,Baie_de_Verde,24h,31.5,330
BdV_04,Baie_de_Verde,24h,33,360
BdV_04,Baie_de_Verde,24h,31.5,300
BdV_04,Baie_de_Verde,24h,32,350
BdV_04,Baie_de_Verde,24h,28,205
BdV_04,Baie_de_Verde,24h,28,220
BdV_04,Baie_de_Verde,24h,29,255
BdV_04,Baie_de_Verde,24h,30.5,280
BdV_04,Baie_de_Verde,24h,31.25,295
BdV_04,Baie_de_Verde,24h,29,250
BdV_04,Baie_de_Verde,24h,33.5,420
BdV_04,Baie_de_Verde,24h,31,290
BdV_04,Baie_de_Verde,24h,30.5,315
BdV_04,Baie_de_Verde,24h,31.5,310
BdV_04,Baie_de_Verde,24h,32,340
BdV_04,Baie_de_Verde,24h,33,310
BdV_04,Baie_de_Verde,24h,29.5,340
BdV_04,Baie_de_Verde,24h,31.5,240
BdV_04,Baie_de_Verde,24h,28,280
BdV_04,Baie_de_Verde,24h,32,265
MH_05,Musgrave_Harbour,12_day,26,170
MH_06,Musgrave_Harbour,24h,27.5,190
MH_06,Musgrave_Harbour,24h,26,160
MH_06,Musgrave_Harbour,24h,27,205
MH_06,Musgrave_Harbour,24h,25,140
MH_06,Musgrave_Harbour,24h,29,210
MH_06,Musgrave_Harbour,24h,25.5,150
MH_06,Musgrave_Harbour,24h,26,180
MH_06,Musgrave_Harbour,24h,27.5,175
MH_06,Musgrave_Harbour,24h,27,185
MH_06,Musgrave_Harbour,24h,26,165
MH_06,Musgrave_Harbour,24h,28,220
MH_06,Musgrave_Harbour,24h,27,210
MH_06,Musgrave_Harbour,24h,27.5,190
MH_06,Musgrave_Harbour,24h,27,165
MH_06,Musgrave_Harbour,24h,26.5,200
MH_06,Musgrave_Harbour,24h,26.5,160
MH_06,Musgrave_Harbour,24h,29.5,230
MH_06,Musgrave_Harbour,24h,27.5,190
MH_06,Musgrave_Harbour,24h,25.5,160
MH_06,Musgrave_Harbour,24h,27,180
BdV_06,Baie_de_Verde,12_night,29,260
BdV_06,Baie_de_Verde,12_night,29,210
BdV_06,Baie_de_Verde,12_night,28,195
BdV_06,Baie_de_Verde,12_night,28.5,210
BdV_06,Baie_de_Verde,12_night,28,230
BdV_06,Baie_de_Verde,12_night,29,230
BdV_06,Baie_de_Verde,12_night,29,205
BdV_06,Baie_de_Verde,12_night,30,245
BdV_06,Baie_de_Verde,12_night,30.5,260
BdV_06,Baie_de_Verde,12_night,28.5,225
BdV_06,Baie_de_Verde,12_night,29.5,220
BdV_06,Baie_de_Verde,12_night,27,190
BdV_06,Baie_de_Verde,12_night,31,290
BdV_06,Baie_de_Verde,12_night,28,200
BdV_06,Baie_de_Verde,12_night,27,200
BdV_06,Baie_de_Verde,12_night,30.5,250
BdV_06,Baie_de_Verde,12_night,30,265
BdV_06,Baie_de_Verde,12_night,31,240
BdV_06,Baie_de_Verde,12_night,31,280
BdV_06,Baie_de_Verde,12_night,33,310
MH_07,Musgrave_Harbour,24h,27,170
MH_07,Musgrave_Harbour,24h,27,185
MH_07,Musgrave_Harbour,24h,27.5,190
MH_07,Musgrave_Harbour,24h,26.5,150
MH_07,Musgrave_Harbour,24h,25.5,160
MH_07,Musgrave_Harbour,24h,27.5,170
MH_07,Musgrave_Harbour,24h,26,160
MH_07,Musgrave_Harbour,24h,27,175
MH_07,Musgrave_Harbour,24h,26,175
MH_07,Musgrave_Harbour,24h,26,160
MH_07,Musgrave_Harbour,24h,25.5,155
MH_07,Musgrave_Harbour,24h,26,185
MH_07,Musgrave_Harbour,24h,27,185
MH_07,Musgrave_Harbour,24h,26,160
MH_07,Musgrave_Harbour,24h,28,170
MH_07,Musgrave_Harbour,24h,27,170
MH_07,Musgrave_Harbour,24h,30.5,240
MH_07,Musgrave_Harbour,24h,27.5,180
MH_07,Musgrave_Harbour,24h,26.5,185
MH_07,Musgrave_Harbour,24h,27,180
MH_07,Baie_de_Verde,24h,NA,NA
BdV_08_N1,Baie_de_Verde,12_night,31,260
BdV_08_N1,Baie_de_Verde,12_night,31.5,305
BdV_08_N1,Baie_de_Verde,12_night,31,300
BdV_08_N1,Baie_de_Verde,12_night,32,300
BdV_08_N1,Baie_de_Verde,12_night,30,255
BdV_08_N1,Baie_de_Verde,12_night,31,280
BdV_08_N1,Baie_de_Verde,12_night,33,355
BdV_08_N1,Baie_de_Verde,12_night,29,210
BdV_08_N1,Baie_de_Verde,12_night,28,210
BdV_08_N1,Baie_de_Verde,12_night,29,210
BdV_08_N1,Baie_de_Verde,12_night,33,360
BdV_08_N1,Baie_de_Verde,12_night,32,350
BdV_08_N1,Baie_de_Verde,12_night,33,375
BdV_08_N1,Baie_de_Verde,12_night,28,220
BdV_08_N1,Baie_de_Verde,12_night,32,310
BdV_08_N1,Baie_de_Verde,12_night,31,290
BdV_08_N1,Baie_de_Verde,12_night,30,260
BdV_08_N1,Baie_de_Verde,12_night,34.5,350
BdV_08_N1,Baie_de_Verde,12_night,26.5,215
BdV_08_N1,Baie_de_Verde,12_night,32,310
BdV_08_N2,Baie_de_Verde,12_night,34.5,260
BdV_08_N2,Baie_de_Verde,12_night,28,240
BdV_08_N2,Baie_de_Verde,12_night,27,220
BdV_08_N2,Baie_de_Verde,12_night,28,250
BdV_08_N2,Baie_de_Verde,12_night,31,390
BdV_08_N2,Baie_de_Verde,12_night,29,290
BdV_08_N2,Baie_de_Verde,12_night,33.5,380
BdV_08_N2,Baie_de_Verde,12_night,34,380
BdV_08_N2,Baie_de_Verde,12_night,33,355
BdV_08_N2,Baie_de_Verde,12_night,28,255
BdV_08_N2,Baie_de_Verde,12_night,34,400
BdV_08_N2,Baie_de_Verde,12_night,34,425
BdV_08_N2,Baie_de_Verde,12_night,32,290
BdV_08_N2,Baie_de_Verde,12_night,31,270
BdV_08_N2,Baie_de_Verde,12_night,33,380
BdV_08_N2,Baie_de_Verde,12_night,32,275
BdV_08_N2,Baie_de_Verde,12_night,32,290
BdV_08_N2,Baie_de_Verde,12_night,32,280
BdV_08_N2,Baie_de_Verde,12_night,26,190
BdV_08_N2,Baie_de_Verde,12_night,28.5,250
MH_08,Musgrave_Harbour,12_day,NA,NA
MH_09,Musgrave_Harbour,24h,27,170
MH_09,Musgrave_Harbour,24h,26.5,180
MH_09,Musgrave_Harbour,24h,28.5,225
MH_09,Musgrave_Harbour,24h,25.5,160
MH_09,Musgrave_Harbour,24h,26,185
MH_09,Musgrave_Harbour,24h,26,180
MH_09,Musgrave_Harbour,24h,27.5,180
MH_09,Musgrave_Harbour,24h,25.5,165
MH_09,Musgrave_Harbour,24h,26,155
MH_09,Musgrave_Harbour,24h,28.5,190
MH_09,Musgrave_Harbour,24h,27.5,160
MH_09,Musgrave_Harbour,24h,27.5,180
MH_09,Musgrave_Harbour,24h,26.5,160
MH_09,Musgrave_Harbour,24h,27,170
MH_09,Musgrave_Harbour,24h,27,170
MH_09,Musgrave_Harbour,24h,26.5,160
MH_09,Musgrave_Harbour,24h,26.5,170
MH_09,Musgrave_Harbour,24h,26,150
MH_09,Musgrave_Harbour,24h,26,150
MH_09,Musgrave_Harbour,24h,26,150
BdV_09_N1,Baie_de_Verde,12_day,31,240
BdV_09_N1,Baie_de_Verde,12_day,29,215
BdV_09_N1,Baie_de_Verde,12_day,28,240
BdV_09_N1,Baie_de_Verde,12_day,28,215
BdV_09_N1,Baie_de_Verde,12_day,31,360
BdV_09_N1,Baie_de_Verde,12_day,29,235
BdV_09_N2,Baie_de_Verde,12_day,31,280
BdV_09_N2,Baie_de_Verde,12_day,32,300
BdV_09_N2,Baie_de_Verde,12_day,30.5,290
BdV_09_N2,Baie_de_Verde,12_day,28,190
BdV_09_N2,Baie_de_Verde,12_day,32,270
BdV_09_N2,Baie_de_Verde,12_day,32,360
BdV_09_N2,Baie_de_Verde,12_day,29,215
BdV_09_N2,Baie_de_Verde,12_day,34,390
BdV_09_N2,Baie_de_Verde,12_day,28,210
BdV_09_N2,Baie_de_Verde,12_day,29,250
BdV_09_N2,Baie_de_Verde,12_day,30.5,260
BdV_09_N2,Baie_de_Verde,12_day,28,230
BdV_09_N2,Baie_de_Verde,12_day,31,270
BdV_09_N2,Baie_de_Verde,12_day,29,240
BdV_09_N2,Baie_de_Verde,12_day,34.5,390
BdV_09_N2,Baie_de_Verde,12_day,33,340
BdV_09_N2,Baie_de_Verde,12_day,31,290
BdV_09_N2,Baie_de_Verde,12_day,31,270
BdV_09_N2,Baie_de_Verde,12_day,27,205
BdV_09_N2,Baie_de_Verde,12_day,31,310
BdV_10_N1,Baie_de_Verde,24h,34,400
BdV_10_N1,Baie_de_Verde,24h,32,330
BdV_10_N1,Baie_de_Verde,24h,35,450
BdV_10_N1,Baie_de_Verde,24h,33,320
BdV_10_N1,Baie_de_Verde,24h,34,340
BdV_10_N1,Baie_de_Verde,24h,32,390
BdV_10_N1,Baie_de_Verde,24h,30,235
BdV_10_N1,Baie_de_Verde,24h,28,190
BdV_10_N1,Baie_de_Verde,24h,32,380
