Port,Trip_ID,Coordinates,Number_nets,Setting_time,Pulling_time,Soak_duration,Crew,Observers,Target_spc,Water_depth_m,Depth_surface_fathom,Mesh_size,Net_height_fathom,Net_height_m,Net_length_m,Net_area_m2,SST_set,Wind_speed_set,Wind_direction_set,Prevailing_weather_cond_set,SST,Wind_speed,Wind_direction,Prevailing_weather_cond,Notes
BdV,BdV_01,"48°05.1806, 52°54.0986",1,5/15/2024 10:00,5/16/2024 6:14 AM,24h,Tony_Joe,Bobby_Jessika_Bill,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,,,,Unknown,4.5,9,NNE,"Foggy, calm waters",
BdV,BdV_02,"48°05.1806, 52°54.0986",1,5/16/2024 6:21,5/17/2024 7:06 AM,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4.5,9,NNE,"Foggy, calm waters",3.5,19,N,"Foggy, slight lop",
MH,MH_01,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/16/2024 18:00,5/17/2024 6:00:00; 5/17/2024 6:30:00,12_night,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,,,Unknown,,13,S,"Cloudy, calm waters",
MH,MH_02,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/17/2024 6:30:00; 5/17/2024 7:00:00,5/18/2024 6:15:00; 5/18/2024 6:30:00,24h,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,13,S,"Cloudy, calm waters",,15,S,"Foggy, choppy waters",
MH,MH_03,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/18/2024 6:30:00; 5/18/2024 6:45:00,5/18/2024 18:15:00; 5/18/2024 18:30:00,12_day,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,15,S,"Foggy, choppy waters",,18,SW,"Clear, rough waters",
MH,MH_04,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/18/2024 18:30:00; 5/18/2024 18:45:00,5/19/2024 6:00:00; 5/19/2024 6:45:00,12_night,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,18,SW,"Clear, rough waters",,11,W,"Clear, choppy waters",
BdV,BdV_03,"48°05.1806, 52°54.0986",1,5/17/2024 7:21,5/18/2024 7:02:00,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,3.5,19,N,"Foggy, slight lop",4,5,N,"Foggy, calm waters",
BdV,BdV_04,"48°05.1806, 52°54.0986",1,5/18/2024 7:16:00,5/19/2024 6:18:00,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4,5,N,"Foggy, calm waters",4,2,N,"Overcast, very calm",
MH,MH_05.a,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",1,5/19/2024 6:45:00,5/19/2024 18:15:00,12_day,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,11,W,"Clear, choppy waters",,25,NW,"Cloudy, very rough waters",
MH,MH_05.b,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",1,5/19/2024 7:15:00,,,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,11,W,"Clear, choppy waters",,,,,
BdV,BdV_05,"48°05.1806, 52°54.0986",1,5/19/2024 6:18:00,5/19/2024 15:34:00,12_day,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4,2,N,"Overcast, very calm",5,12,,"Overcast, calm waters",wind speed from government of Canada website
BdV,BdV_06,"48°05.1806, 52°54.0986",1,5/19/2024 15:34:00,5/20/2024 7:11:00,12_night,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,5,,,"Ovecast, calm waters",4,7,E,"0%cc, clear and very calm",
MH,MH_06.a,"N49°27.8619', W53°57.2766'",1,5/19/2024 18:15:00,5/20/2024 6:15:00,12_night,Andrew,Jessika_Bill,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,25,NW,"Cloudy, very rough waters",,10,N,"Sunny, clear, calm waters",
MH,MH_06.b,"N49°27.9044', W53°57.4333'",1,5/19/2024 7:15:00,5/20/2024 6:45:00,24h,Andrew,Jessika_Bill,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,,,,,10,N,"Sunny, clear, calm waters",
MH,MH_07,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/20/2024 6:45:00; 5/20/2024 7:15:00,5/21/2024 6:45:00; 5/21/2024 7:00:00,24h,Andrew,Jessika_Bill,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,10,N,"Sunny, clear, calm waters",,10,NE,"Sunny, clear, calm waters",
BdV,BdV_07,"48°05.1806, 52°54.0986",1,5/20/2024 7:22:00,5/20/2024 16:13:00,12_day,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4,7,E,"0%cc, clear and very calm",6,11,E,"0%cc, clear and very calm",
MH,MH_08,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/21/2024 6:45:00; 5/21/2024 7:15:00,5/21/2024 18:15:00; 5/21/2024 18:30:00,12_day,Andrew,Jessika_Bill,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,10,NE,"Sunny, clear, calm waters",,10,NE,"Sunny, clear, calm waters",
BdV,BdV_08,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/20/2024 16:00; 5/20/2024 16:18,5/21/2024 7:08:00; 5/21/2024 6:09:00,12_night,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,6,11,E,"0%cc, clear and very calm",4,2,ESE,"Very foggy (<200m vis), perfectly calm",
BdV,BdV_09,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/21/2024 7:22:00; 5/21/2024 6:49:00,5/21/2024 16:26:00; 5/21/2024 16:10:00,12_day,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4,2,ESE,"Very foggy (<200m vis), perfectly calm",9,0,,no cloud no wind very sunny calm waters,
MH,MH_09.a,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",1,5/21/2024 18:15:00,5/22/2024 17:15:00,24h,Andrew_Brandon,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,10,NE,"Sunny, clear, calm waters",,20,SE,"Cloudy, very rough waters, big swells and white caps","May 22nd AM: too windy to go on the water, wind will continue to increase all day, next trip May 23rd mid-day at the earliest"
MH,MH_09.b,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",1,5/21/2024 18:30:00,,,Andrew_Brandon,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,10,NE,"Sunny, clear, calm waters",,,,,
MH,MH_10,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/22/2024 18:00:00; 5/21/2024 18:30:00,5/23/2024 13:15:00; 5/23/2024 13:30:00,24h,Andrew_Scott,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,20,SE,"Cloudy, very rough waters, big swells and white caps",,12,SE,"Foggy, cloudy, choppy waters",
MH,MH_11,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/23/2024 13:30:00; 5/23/2024 14:00:00,5/24/2024 05:45:00; 5/24/2024 06:45:00,12_night,Andrew_Scott,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,12,SE,"Foggy, cloudy, choppy waters",,20,N,"Raining, rough waters",
BdV,BdV_10,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/21/2024 16:32:00; 5/21/2024 16:23:00,5/23/2024 10:30:00; 5/23/2024 10:08:00,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,9,0,NA,no cloud no wind very sunny,4.5,24,NW,"windy and overcast, choppy",
BdV,BdV_11,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/23/2024 10:59:00; 5/23/2024 10:26:00,5/24/2024 6:27:00; 5/24/2024 6:13:00,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,4.5,24,NW,"windy and overcast, choppy",15,34,SE,"very windy, raining, cold (3°C), overcast, choppy",
BdV,BdV_12,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/24/2024 7:19:00; 5/24/2024 6:24:00,5/24/2024 14:34:00; 5/24/2024 14:27:00,12_day,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,15,34,SE,"very windy, raining, cold (3°C), overcast, choppy",16,29,SE,"windy, raining, 6°C and overcast, choppy",
MH,MH_12,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/24/2024 06:45:00; 5/24/2024 07:30:00,5/24/2024 18:15:00; 5/24/2024 18:30:00,12_day,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,20,N,"Raining, rough waters",,13,NW,"Cloudy, choppy waters",
MH,MH_13,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/24/2024 18:30:00; 5/24/2024 18:45:00,5/25/2024 6:00:00; 5/25/2024 6:45:00,12_night,Andrew_Scott,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,13,NW,"Cloudy, choppy waters",,5,NW,"Foggy, calm waters ",
MH,MH_14,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/25/2024 6:45:00; 5/25/2024 7:15:00,5/25/2024 18:15:00; 5/25/2024 18:30:00,12_day,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,5,NW,"Foggy, calm waters ",,6,S,"Foggy, choppy waters ",
BdV,BdV_13,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/24/2024 14:41:00; 5/24/2024 14:31:00,5/25/2024 6:19:00; 5/25/2024 6:10:00,12_night,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,16,29,SE,"windy, raining, 6°C and overcast, choppy",15,3,S,"ovecast, calm, 6°C",
BdV,BdV_14,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/25/2024 6:35:00; 5/25/2024 6:16:00,5/27/2024 6:38:00; 5/27/2024 6:18:00,24h,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,15,3,S,"ovecast, calm, 6°C",17,22,NE,"Overcast, choppy",
MH,MH_15,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",2,5/25/2024 18:30:00; 5/25/2024 18:45:00,5/27/2024 6:15:00; 5/27/2024 7:00:00,24h,Andrew_Scott,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"")",1.5,2.7432,124.358,341.1388656,,6,S,"Foggy, choppy waters ",,7,SE,"Clear, large swells",
MH,MH_16,"N49°27.8619', W53°57.2766'
N49°27.9044', W53°57.4333'",1,5/27/2024 7:00:00,5/27/2024 18:15:00,12_day,Andrew,Jessika,Atlantic Herring,12.8,1,"66.80 mm (2 5/8"") - 1 inch x 1 inch",1.5,2.7432,124.358,341.1388656,,7,SE,"Clear, large swells",,13,S,"Sunny, large swells",
BdV,BdV_15,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/27/2024 7:17:00; 5/27/2024 6:33:00,5/27/2024 16:15:00; 5/27/2024 16:05:00,12_day,Tony_Joe,Bobby,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,17,22,NE,"Overcast, choppy waters",13.5,6,N,"Sunny, calm waters",
BdV,BdV_16,"48.08504°N, 52.90193°W
48°05.1806, 52°54.0986",2,5/27/2024 16:21:00; 5/27/2024 16:11:00,5/28/2024 11:00:00; 5/28/2024 11:00:00,24h,Tony_Joe,,Atlantic Herring,10,1.33,"66.80 mm (2 5/8"")",3,,31.0896,199,13.5,6,N,"Sunny, calm waters",,,,,
